SYMBOL;SERIES;OPEN;HIGH;LOW;CLOSE;LAST;PREVCLOSE;TOTTRDQTY;TOTTRDVAL;TIMESTAMP;TOTALTRADES;ISIN
MUTHOOTFIN;EQ;1299.8;1311.05;1258.05;1280.9;1279;1292.6;2359748;3037120349.25;06-JAN-2021;69220;INE414G01012
N100;EQ;921.9;921.9;902.55;907.16;909;912.97;168023;153752173.3;06-JAN-2021;2983;INF247L01031
NABARD;N2;1300;1304.79;1299.99;1303.35;1304.79;1298;781;1016141.35;06-JAN-2021;10;INE261F07032
NACLIND;EQ;45.8;47.5;44;44.35;44.8;45.45;107892;4858312.5;06-JAN-2021;896;INE295D01020
NAGAFERT;BE;5.3;5.4;4.95;5;4.95;5.15;960542;4850599.3;06-JAN-2021;1394;INE454M01024
NAGREEKCAP;EQ;5.9;6.5;5.9;6.5;6.5;6.2;2024;11956;06-JAN-2021;5;INE245I01016
NAGREEKEXP;EQ;24.45;24.9;22.75;22.9;23;23.9;28924;689191.35;06-JAN-2021;191;INE123B01028
NAHARCAP;EQ;94.6;94.6;90.1;91.8;91.65;93.25;8836;813991.25;06-JAN-2021;333;INE049I01012
NAHARINDUS;BE;53.35;53.45;50;52.75;53.45;50.95;63272;3360784.9;06-JAN-2021;245;INE289A01011
NAHARPOLY;EQ;95;95.85;92.25;94.05;93.85;93.7;56424;5339188.25;06-JAN-2021;462;INE308A01027
NAHARSPING;BE;85;88.2;84.3;86.95;87.15;84;150956;13245563;06-JAN-2021;548;INE290A01027
NAM-INDIA;EQ;313;314.45;302.25;305.65;305.2;311.3;728278;224403569.45;06-JAN-2021;17820;INE298J01013
NANDANI;SM;13;13;13;13;13;13;5000;65000;06-JAN-2021;1;INE696V01013
NATCOPHARM;EQ;970;979;936.95;953.05;954.85;966.45;315429;305182384.5;06-JAN-2021;10084;INE987B01026
NATHBIOGEN;EQ;268;272.5;266;270.8;270;266.05;64079;17317612.55;06-JAN-2021;1164;INE448G01010
